features,max_depth,acc_mean,acc_std,f1_mean,f1_std,above_73,norm_above_73,acc_mean_above_73
X1,1,0.6508461538461537,0.08795732558610656,0.6692040075505146,0.08972808646870228,0.17,0.18408356183138763,0.0
X1,2,0.6508461538461537,0.08795732558610656,0.6692040075505146,0.08972808646870228,0.17,0.18408356183138763,0.0
X1,3,0.6508461538461537,0.08795732558610656,0.6692040075505146,0.08972808646870228,0.17,0.18408356183138763,0.0
X1,4,0.6508461538461537,0.08795732558610656,0.6692040075505146,0.08972808646870228,0.17,0.18408356183138763,0.0
X1,5,0.6508461538461537,0.08795732558610656,0.6692040075505146,0.08972808646870228,0.17,0.18408356183138763,0.0
X1,6,0.6508461538461537,0.08795732558610656,0.6692040075505146,0.08972808646870228,0.17,0.18408356183138763,0.0
X3,1,0.5618000000000001,0.07223435069354708,0.5463792648798267,0.09566990346614497,0.0,0.00994193497946183,0.0
X3,2,0.5297076923076923,0.07067039754209253,0.5386780230413912,0.09560447610580296,0.0,0.002297204792491736,0.0
X3,3,0.5266461538461539,0.06806014743327445,0.5341208335468324,0.09708844883715505,0.0,0.0014047144239924814,0.0
X3,4,0.5266461538461539,0.06806014743327445,0.5341208335468324,0.09708844883715505,0.0,0.0014047144239924814,0.0
X3,5,0.5266461538461539,0.06806014743327445,0.5341208335468324,0.09708844883715505,0.0,0.0014047144239924814,0.0
X3,6,0.5266461538461539,0.06806014743327445,0.5341208335468324,0.09708844883715505,0.0,0.0014047144239924814,0.0
X5,1,0.530646153846154,0.0757575328728586,0.5289850069233039,0.17338903355301027,0.0,0.004250790374317748,0.0
X5,2,0.5580000000000002,0.0780536911249228,0.6239956084859453,0.12603729472105413,0.0,0.013775844046261754,0.0
X5,3,0.5831538461538461,0.08079380578518652,0.652679047281339,0.0813825695240245,0.01,0.03456706417919897,0.0
X5,4,0.5771692307692308,0.08429245230026768,0.6459311667621114,0.09250765573109071,0.0,0.034908086200882926,0.0
X5,5,0.5771692307692308,0.08429245230026768,0.6459311667621114,0.09250765573109071,0.0,0.034908086200882926,0.0
X5,6,0.5771692307692308,0.08429245230026768,0.6459311667621114,0.09250765573109071,0.0,0.034908086200882926,0.0
X6,1,0.6027538461538462,0.07507228705736671,0.7037684138185248,0.0800459700847232,0.04,0.045039444787654315,0.0
X6,2,0.5972153846153847,0.07643249564506281,0.7009648749112458,0.08099973372379264,0.04,0.041168915370186965,0.0
X6,3,0.5972153846153847,0.07643249564506281,0.7009648749112458,0.08099973372379264,0.04,0.041168915370186965,0.0
X6,4,0.5972153846153847,0.07643249564506281,0.7009648749112458,0.08099973372379264,0.04,0.041168915370186965,0.0
X6,5,0.5972153846153847,0.07643249564506281,0.7009648749112458,0.08099973372379264,0.04,0.041168915370186965,0.0
X6,6,0.5972153846153847,0.07643249564506281,0.7009648749112458,0.08099973372379264,0.04,0.041168915370186965,0.0
mean,1,0.5759846153846154,0.07230143835474977,0.5015285940888592,0.1156318086790427,0.02,0.016578202776404316,0.0
mean,2,0.5685384615384615,0.07218987947229759,0.5131104010834117,0.11606750113248841,0.01,0.012655498063114057,0.0
mean,3,0.528276923076923,0.0813797526539116,0.5246257227163678,0.11310154117501936,0.01,0.006591499348845842,0.0
mean,4,0.5227846153846154,0.08384620889200733,0.5305878232812328,0.11185234615062419,0.0,0.006729738769801652,0.0
mean,5,0.5212923076923077,0.08986425528928743,0.5422833625581825,0.10698208672820567,0.0,0.010103624869750472,0.0
mean,6,0.5231384615384616,0.08871866844231555,0.5473591214821834,0.10365294832275306,0.0,0.009859361178729542,0.0
F_w_mean,1,0.5913538461538461,0.07903554140216745,0.5191869633195721,0.1277802146603653,0.07,0.03969594670621246,0.0
F_w_mean,2,0.5771538461538461,0.07668405171208839,0.5372380969703909,0.13670775415150835,0.06,0.023120131001633792,0.0
F_w_mean,3,0.5757846153846153,0.09362107182016983,0.5519548040857196,0.13416162079669722,0.04,0.04975544857796643,0.0
F_w_mean,4,0.5710615384615384,0.09445645062720046,0.5572518212698304,0.1428883123237095,0.05,0.04622008496688246,0.0
F_w_mean,5,0.5845846153846154,0.09359082036612743,0.5985280490268255,0.11321843354231655,0.06,0.06012375494663835,0.0
F_w_mean,6,0.5964461538461538,0.08754797704129816,0.6091557395088403,0.11471653198900555,0.07,0.0635680606088489,0.0
above_3,1,0.5304615384615385,0.06286342856452848,0.6591418958390501,0.0727356676414539,0.0,0.000751359045728317,0.0
above_3,2,0.5328307692307692,0.06985842657341781,0.6461178285269643,0.07696642961399672,0.0,0.0023831983116296973,0.0
