features,nn,acc_mean,acc_std,f1_mean,f1_std,above_73,avg_acc_above_73
X1,1,0.5462153846153845,0.1222051665106409,0.4540218125710233,0.3044335035207468,0.07,0.06630327880521047
X1,2,0.4808461538461538,0.0788633377147008,0.1225206600355038,0.248940804698294,0.02,0.0007907119450112354
X1,3,0.5317846153846154,0.1188977423507051,0.3265158200685416,0.3302440522183169,0.06,0.04774645985284076
X1,4,0.5091076923076923,0.1049699151039147,0.2167551651981285,0.3160652095245206,0.03,0.01767443424710513
X1,5,0.5814461538461538,0.1304888977117804,0.5069271815530318,0.2831582298568987,0.12,0.12746829505281898
X1,6,0.5442153846153845,0.1137441580527292,0.3662325526913091,0.3256472661237853,0.05,0.05119715363148791
X1,7,0.6000923076923077,0.0967800703235656,0.5672394823187776,0.2416336921983349,0.08,0.08974970006018679
X1,8,0.5788615384615384,0.1154630748629393,0.4820656302952504,0.2952424554859988,0.07,0.09527114102690093
X1,9,0.6199538461538462,0.1001103426727686,0.6167570992373154,0.186380687867614,0.12,0.13582982312257386
X1,10,0.6002923076923077,0.1093409401067685,0.5369852377115982,0.2688968567421214,0.12,0.1177581784818732
X1,11,0.6329538461538461,0.0920548280154101,0.6441385627132555,0.1426414225790615,0.14,0.14589082162803813
X1,12,0.6188,0.0948128221423851,0.5938630127942914,0.2145299410392974,0.12,0.12043055885325171
X1,13,0.6342615384615384,0.0838970501840547,0.6547614733882433,0.106280165579957,0.13,0.12690538344080415
X1,14,0.6384461538461538,0.0897759195978797,0.6453181152836155,0.1431607989618573,0.15,0.15391070166836884
X1,15,0.6382615384615383,0.0831181251105526,0.6564431481949182,0.1067398629437627,0.13,0.134859071820997
X3,1,0.4800461538461538,0.0862014854551506,0.3962507951153564,0.2206221530015011,0.0,0.001867917869602831
X3,2,0.484523076923077,0.0592241035210312,0.1811466736864637,0.2089947713634962,0.0,1.699943404198656e-05
X3,3,0.5225384615384615,0.0868126936973058,0.4357299119752453,0.2005846301871493,0.0,0.008429683539337929
X3,4,0.5013846153846154,0.0835834982722783,0.3175547938165283,0.2134135690295699,0.0,0.003117368491030059
X3,5,0.5240615384615385,0.0847181250386195,0.455358145773005,0.2046844849839174,0.0,0.00753137939245041
