features,penalty,acc_mean,acc_std,f1_mean,f1_std,above_73,norm_above_73,acc_mean_above_73
"X3,X6",l2,0.5711384615384616,0.09037728153552463,0.6556982710398183,0.09636012027451692,0.01,0.03939420706873065,0.0
"X3,X6",elasticnet,0.5727384615384615,0.08927401604514275,0.658821222841858,0.09432002504827247,0.01,0.03907183099469724,0.0
"X3,X6",,0.5651538461538462,0.09038206215706364,0.647116630882154,0.09706926566622358,0.01,0.034085008978477216,0.0
"X3,mean",l1,0.5449076923076924,0.09373908015299165,0.6242817414251356,0.09749869926330058,0.0,0.02415973593113996,0.0
"X3,mean",l2,0.5438000000000001,0.08531832631230953,0.6181265731902199,0.08958770287453319,0.0,0.014539457025775193,0.0
"X3,mean",elasticnet,0.5426153846153848,0.08547050427247822,0.6178206467872704,0.08961205747446234,0.0,0.014175705830237084,0.0
"X3,mean",,0.5414153846153847,0.08581600794102992,0.6154584055428515,0.09002491982746112,0.0,0.013990741486221925,0.0
"X3,F_w_mean",l1,0.5659076923076923,0.08064876584271247,0.6296612813709194,0.08729253118942773,0.0,0.020942866319565212,0.0
"X3,F_w_mean",l2,0.5654769230769231,0.08015969859041705,0.6291721150786058,0.08431406684517616,0.0,0.020063396570087266,0.0
"X3,F_w_mean",elasticnet,0.5646769230769231,0.08100432306383151,0.6280456782969966,0.0862801331708049,0.0,0.020629553048920557,0.0
"X3,F_w_mean",,0.5635076923076923,0.08235787973855074,0.6258451475842678,0.08841316476792412,0.0,0.02161034125481076,0.0
"X3,above_4",l1,0.6110307692307693,0.07991979855569853,0.6834504587201571,0.09418988404379341,0.04,0.06829534602958343,0.0
"X3,above_4",l2,0.5998769230769231,0.08277257070756266,0.6698852497831784,0.0937904273089277,0.04,0.05796883758941651,0.0
"X3,above_4",elasticnet,0.6026769230769231,0.08378632163013061,0.6722147311950127,0.09600310581176318,0.04,0.06430369410534109,0.0
"X3,above_4",,0.5938923076923077,0.08366188785396814,0.6626213273181419,0.09774747985294163,0.03,0.051881496103469926,0.0
"X3,above_5",l1,0.5694461538461538,0.0859957395394383,0.624683827189414,0.09457888036342947,0.01,0.03095095596252595,0.0
"X3,above_5",l2,0.5710153846153846,0.0837402916743436,0.6208884762911697,0.09271751638488113,0.01,0.028812238837760407,0.0
"X3,above_5",elasticnet,0.5718153846153846,0.08363116544876992,0.6220491905768839,0.09281755607613028,0.01,0.029281792900547998,0.0
"X3,above_5",,0.5730153846153846,0.08581593623123042,0.6209653278649889,0.094008859007887,0.01,0.03367601055098379,0.0
"X5,X6",l1,0.5621846153846155,0.0783740628512434,0.6427637313454073,0.07953034083850807,0.0,0.016128523923628957,0.0
"X5,X6",l2,0.5634461538461539,0.07957999808164459,0.6413949031574222,0.07840955413006284,0.0,0.01817855410455571,0.0
"X5,X6",elasticnet,0.563046153846154,0.07888962553942996,0.6411420295942039,0.07807113508248888,0.0,0.017159794951948304,0.0
"X5,X6",,0.5610923076923078,0.07770290712159958,0.6385812950769164,0.07738050260719365,0.0,0.014861475182947448,0.0
"X5,mean",l1,0.5736769230769231,0.08567087012611509,0.6493032894823071,0.08715669124438556,0.04,0.03402364993803342,0.0
"X5,mean",l2,0.5780461538461538,0.08366002063862067,0.6513422440534788,0.08551455868618396,0.04,0.034660212031163984,0.0
"X5,mean",elasticnet,0.5768461538461539,0.08246738641720863,0.6507944358497375,0.08503481825690956,0.04,0.03164530528397658,0.0
"X5,mean",,0.5752615384615385,0.0875620300839698,0.644756637257596,0.09486185747504654,0.04,0.03859847690641627,0.0
"X5,F_w_mean",l1,0.5639230769230769,0.08175019678603969,0.6274868494511314,0.0871432720115142,0.0,0.021101283105874002,0.0
"X5,F_w_mean",l2,0.5607538461538462,0.07501968025815295,0.6233805012261738,0.07796233726180862,0.0,0.012034582965333773,0.0
"X5,F_w_mean",elasticnet,0.5623538461538462,0.07624018571042286,0.6254457052822011,0.07879175406181976,0.0,0.013941766120633803,0.0
"X5,F_w_mean",,0.5552153846153846,0.07633526021873983,0.6135791695429945,0.08058581692975444,0.0,0.011019444078353757,0.0
"X5,above_4",l1,0.5986153846153845,0.07504744061722068,0.6675444601594671,0.07196580884136229,0.02,0.039999877810732665,0.0
"X5,above_4",l2,0.5994153846153847,0.0758580986069408,0.6674768077094617,0.07197235350047666,0.02,0.04258616272790472,0.0
"X5,above_4",elasticnet,0.5990307692307693,0.07548271638840762,0.6672583203145038,0.07170954574786619,0.02,0.04136252133314344,0.0
"X5,above_4",,0.5994461538461539,0.07508150049097535,0.6668837600972752,0.07148217697356436,0.02,0.041032474828715304,0.0
"X5,above_5",l1,0.5494461538461538,0.07747983742303924,0.6164881461665211,0.08620865001156615,0.0,0.0098942707145111,0.0
"X5,above_5",l2,0.5518307692307691,0.07639098896641064,0.6178794137570016,0.08290091185519281,0.0,0.009841587722755785,0.0
"X5,above_5",elasticnet,0.5518307692307691,0.07639098896641064,0.6178794137570016,0.08290091185519281,0.0,0.009841587722755785,0.0
"X5,above_5",,0.5522153846153847,0.0786735657055685,0.6155893312341605,0.0876839038897515,0.0,0.011917586315117745,0.0
"X6,mean",l1,0.5428923076923078,0.09196584907697915,0.6133197419143198,0.10172074858108097,0.02,0.020948867151819206,0.0
"X6,mean",l2,0.5413692307692308,0.08698252425991798,0.6084912107881962,0.09598990775696987,0.01,0.015056328559317822,0.0
"X6,mean",elasticnet,0.5417692307692309,0.08649147442337306,0.608874147436974,0.09672782165926697,0.0,0.014766688439340259,0.0
"X6,mean",,0.539,0.08463366935307531,0.6054393510029382,0.09353364360022395,0.01,0.012010754572845062,0.0
"X6,F_w_mean",l1,0.5623538461538462,0.0814104815664159,0.6271842152739205,0.0868377957523537,0.0,0.01973419536100629,0.0
"X6,F_w_mean",l2,0.561923076923077,0.08251788402178012,0.626157049221023,0.0871804980208988,0.0,0.020832312640744033,0.0
"X6,F_w_mean",elasticnet,0.5611384615384616,0.08222256417293006,0.6249865372995643,0.08781868453991969,0.0,0.020001744958063616,0.0
"X6,F_w_mean",,0.5607538461538462,0.0818182413364197,0.6247406212023136,0.08646963388606986,0.0,0.019293575390078477,0.0
"X6,above_4",l1,0.574123076923077,0.09518947284046157,0.6476410527168732,0.10921871269282536,0.02,0.050758456215504344,0.0
"X6,above_4",l2,0.572923076923077,0.09409299189769849,0.6448405869831809,0.10846259482393146,0.01,0.04752108496593488,0.0
"X6,above_4",elasticnet,0.5721230769230768,0.09385908612029673,0.644428763869745,0.10824245775886608,0.01,0.046278284076812115,0.0
"X6,above_4",,0.5681846153846154,0.09364085488792813,0.6376898523132796,0.10818835098194798,0.01,0.04199029523448927,0.0
"X6,above_5",l1,0.5661846153846153,0.09351846446165737,0.6026731502165051,0.11029126634552872,0.01,0.039913540116076396,0.0
"X6,above_5",l2,0.5668923076923077,0.09611666481124838,0.6001771879633767,0.10972583249524648,0.02,0.04485058040955581,0.0
"X6,above_5",elasticnet,0.5665076923076922,0.09517442225139891,0.6007509280164272,0.10930174158743605,0.02,0.04291493546077707,0.0
"X6,above_5",,0.5637076923076922,0.09524060965686146,0.5971914185848811,0.11016822613709294,0.02,0.04040346607551504,0.0
"mean,F_w_mean",l1,0.5631846153846154,0.08119237291838652,0.6288116350681826,0.0833068370525602,0.0,0.019960295160754704,0.0
"mean,F_w_mean",l2,0.5603692307692308,0.07464317325522454,0.6287265737123428,0.07680201816488479,0.0,0.011526483749047411,0.0
"mean,F_w_mean",elasticnet,0.5604,0.07547110266372228,0.6289031912107345,0.07660055705922901,0.0,0.012313057812669115,0.0
"mean,F_w_mean",,0.5564615384615385,0.07247264327778198,0.6238794255894553,0.07483306514808291,0.0,0.008320670982627454,0.0
"mean,above_4",l1,0.5670153846153847,0.09178449676363568,0.6371186042307129,0.09871515766462587,0.03,0.03788859746600992,0.0
"mean,above_4",l2,0.5690461538461539,0.094686847308665,0.63296275937611,0.10161252693953757,0.03,0.044579165813883104,0.0
"mean,above_4",elasticnet,0.5694461538461539,0.09405425099471854,0.6338029048819989,0.10143080350932036,0.03,0.043907825164556824,0.0
"mean,above_4",,0.5650923076923078,0.09483306915795334,0.6290945014451745,0.1021853260418325,0.03,0.041023887606633336,0.0
"mean,above_5",l1,0.5343538461538462,0.08791040490147244,0.5974704549265897,0.09486409916983282,0.0,0.013023255280165014,0.0
"mean,above_5",l2,0.5387692307692309,0.08645524203736663,0.5961873946351727,0.09304696547379848,0.0,0.013486620014905304,0.0
"mean,above_5",elasticnet,0.5387538461538462,0.08708662490122346,0.5967044501522282,0.09352676704348087,0.0,0.014044358579473393,0.0
"mean,above_5",,0.536,0.08496152975589329,0.5927754843737953,0.09275885696770962,0.0,0.011203809370258777,0.0
"F_w_mean,above_4",l1,0.5722307692307693,0.08598537786798748,0.6345535319549663,0.0914289163708898,0.01,0.033264855060212484,0.0
"F_w_mean,above_4",l2,0.5726307692307693,0.08660822350503573,0.6338787909363416,0.09178918334446684,0.01,0.03460671038224783,0.0
"F_w_mean,above_4",elasticnet,0.5726307692307693,0.08752704941158605,0.6339301648909413,0.09226518661551743,0.01,0.036092490897000395,0.0
"F_w_mean,above_4",,0.5710000000000001,0.08480102014570037,0.6293827277672146,0.09147344724097038,0.01,0.030397913342426253,0.0
"F_w_mean,above_5",l1,0.5602923076923078,0.0814837828276604,0.6245156831796964,0.08607176080750835,0.0,0.01863849523559269,0.0
"F_w_mean,above_5",l2,0.5539230769230769,0.08050296771331408,0.618522858033439,0.0848086354702031,0.0,0.014363586339091738,0.0
"F_w_mean,above_5",elasticnet,0.5535230769230769,0.08057112554873086,0.6183159614817147,0.08482833168661005,0.0,0.014250349860142841,0.0
"F_w_mean,above_5",,0.5499384615384615,0.08103718775239284,0.6155759938690095,0.08459094518490036,0.0,0.01314294243791081,0.0
"above_4,above_5",l1,0.562630769230769,0.09401656532873884,0.6192771257634856,0.10786718305702903,0.03,0.03752079885225279,0.0
"above_4,above_5",l2,0.5610307692307691,0.09803659623417896,0.6142289948113485,0.10904168449193914,0.05,0.04239616333865248,0.0
"above_4,above_5",elasticnet,0.5610307692307691,0.09773434710249154,0.6149950606420695,0.10869658181283952,0.04,0.041916868976149324,0.0
"above_4,above_5",,0.5594307692307692,0.0961656989617646,0.6121429759024872,0.10724054221129774,0.04,0.03805628091520419,0.0
"X1,X3,X5",l1,0.570276923076923,0.07279276900170038,0.6333806279095069,0.07522157508628816,0.0,0.014109933299073285,0.0
"X1,X3,X5",l2,0.5694615384615385,0.07430414866530496,0.6297201974220414,0.07748095106229916,0.0,0.015364729231325258,0.0
"X1,X3,X5",elasticnet,0.5694615384615385,0.07430414866530496,0.6301053826072267,0.07682868063841902,0.0,0.015364729231325258,0.0
"X1,X3,X5",,0.5706153846153846,0.07256859639976478,0.629291575994637,0.07641635298415965,0.0,0.014034151166094189,0.0
"X1,X3,X6",l1,0.5674461538461538,0.08104545294948375,0.6248318826645631,0.07924343025962818,0.02,0.022443486399297052,0.0
"X1,X3,X6",l2,0.5659076923076922,0.0806525809665633,0.6230834532656377,0.0787481476511285,0.02,0.020947712325344647,0.0
"X1,X3,X6",elasticnet,0.5662923076923077,0.08024462451350627,0.6232673613116148,0.07855958003252159,0.02,0.020669790086807804,0.0
"X1,X3,X6",,0.568276923076923,0.08125838108799252,0.6241987361309205,0.07889191726094885,0.02,0.02328266081306718,0.0
"X1,X3,mean",l1,0.5758615384615384,0.07300731745768271,0.6321669475037568,0.07631071787172719,0.01,0.017374377635370863,0.0
"X1,X3,mean",l2,0.5722923076923077,0.07719904190471484,0.6301641320026373,0.07715188704987126,0.02,0.020532599517858796,0.0
"X1,X3,mean",elasticnet,0.5727076923076924,0.07780954444732724,0.6300106796738512,0.07745452856931057,0.02,0.021613807782965067,0.0
"X1,X3,mean",,0.5746615384615384,0.07680836215570165,0.6304113531874823,0.07604853536983106,0.01,0.021566696089789006,0.0
"X1,X3,F_w_mean",l1,0.5690923076923076,0.0741321688711349,0.6283204263314198,0.0789065766902295,0.0,0.014982544827036759,0.0
"X1,X3,F_w_mean",l2,0.5675076923076923,0.07000195432605762,0.6246651978812001,0.07539358920148563,0.0,0.010136573040267716,0.0
"X1,X3,F_w_mean",elasticnet,0.5694923076923076,0.0708685106293096,0.6261521870621647,0.07610741941038265,0.0,0.011760446639445421,0.0
"X1,X3,F_w_mean",,0.5674923076923077,0.07090577295998723,0.6235867048770675,0.0757371136747865,0.0,0.010956215384619439,0.0
"X1,X3,above_4",l1,0.5798615384615384,0.07323984914620305,0.6487455290036663,0.07843636705965525,0.01,0.020184366787201813,0.0
"X1,X3,above_4",l2,0.5826615384615385,0.07449168334501488,0.6515026669554923,0.07657963674346428,0.01,0.02396896369466761,0.0
"X1,X3,above_4",elasticnet,0.581446153846154,0.07483878373073588,0.6505826156016176,0.07690488818569938,0.01,0.023573082810644852,0.0
"X1,X3,above_4",,0.5822153846153846,0.07551145373365827,0.6501175859424915,0.07639990488930758,0.02,0.025166961697879686,0.0
"X1,X3,above_5",l1,0.5826461538461538,0.07181636015420732,0.6308380702287354,0.07632106610726874,0.01,0.020093848787172353,0.0
"X1,X3,above_5",l2,0.5837846153846153,0.07144209224524921,0.6306499847068053,0.07627877671423895,0.01,0.020347312950151464,0.0
"X1,X3,above_5",elasticnet,0.5837846153846153,0.07144209224524921,0.6306499847068053,0.07627877671423895,0.01,0.020347312950151464,0.0
"X1,X3,above_5",,0.5849846153846154,0.0724806834091375,0.6315112125871933,0.07709367153044028,0.01,0.022709923989548186,0.0
"X1,X5,X6",l1,0.5751076923076923,0.08072464117174936,0.6376533753133835,0.08434703905338826,0.0,0.027506498238434762,0.0
"X1,X5,X6",l2,0.575076923076923,0.08380591836298151,0.6365968091073131,0.08877211819784128,0.0,0.032258265150754806,0.0
"X1,X5,X6",elasticnet,0.575476923076923,0.08363737450566693,0.6370134757739797,0.08881448340074989,0.0,0.03233473344425619,0.0
"X1,X5,X6",,0.5762461538461537,0.08275816912071592,0.6349571708102498,0.08815427916881338,0.0,0.03159380186018468,0.0
"X1,X5,mean",l1,0.5682923076923078,0.07598252524108312,0.630843258751502,0.08123847991395179,0.0,0.016659335092217287,0.0
"X1,X5,mean",l2,0.5674923076923077,0.07457862853605936,0.6286377480115228,0.08198631856622274,0.0,0.014665405429251877,0.0
"X1,X5,mean",elasticnet,0.5666923076923078,0.07422479051251825,0.627875362249137,0.08227157086994766,0.0,0.01389716237934735,0.0
"X1,X5,mean",,0.5678307692307693,0.07554052793664304,0.6286956139138596,0.0828296060681526,0.0,0.015905222903816463,0.0
"X1,X5,F_w_mean",l1,0.5683230769230768,0.07671019620091864,0.6287882973926265,0.08023040089478364,0.0,0.017531383493497477,0.0
"X1,X5,F_w_mean",l2,0.5666769230769231,0.0746178334253197,0.6243188481428977,0.08075693005486065,0.0,0.014305902739413123,0.0
"X1,X5,F_w_mean",elasticnet,0.5666769230769231,0.0746178334253197,0.6243188481428977,0.08075693005486065,0.0,0.014305902739413123,0.0
"X1,X5,F_w_mean",,0.5591230769230768,0.07587914869778518,0.6162210242336955,0.07915481939375675,0.0,0.012162351900039337,0.0
"X1,X5,above_4",l1,0.5774307692307692,0.0772684722557249,0.6438050916377684,0.08223756707359334,0.01,0.024160523869702355,0.0
"X1,X5,above_4",l2,0.5778307692307691,0.0785285068655488,0.643987731568718,0.08174270206483832,0.01,0.026326386085903764,0.0
"X1,X5,above_4",elasticnet,0.5778307692307691,0.07832449419263776,0.6445145685661431,0.08142030494883519,0.01,0.026019852655394193,0.0
"X1,X5,above_4",,0.5774307692307692,0.07831239369293445,0.641295581695935,0.08322299801957059,0.01,0.025694735384006573,0.0
"X1,X5,above_5",l1,0.5698,0.07326878618883896,0.6278416997980358,0.07882314082386171,0.0,0.014390620065276472,0.0
"X1,X5,above_5",l2,0.5654153846153847,0.07499316891967817,0.6242556413462474,0.07896321685252362,0.0,0.01409394669059294,0.0
"X1,X5,above_5",elasticnet,0.5662307692307692,0.07443845001232015,0.6247028364152167,0.07844315939111503,0.0,0.013901236060304911,0.0
"X1,X5,above_5",,0.5658,0.07641644080978584,0.6245926302832363,0.081804221620988,0.0,0.015827021741622427,0.0
"X1,X6,mean",l1,0.5770461538461539,0.0826667022968683,0.6299192033556974,0.08671506693892973,0.02,0.032138954240484296,0.0
"X1,X6,mean",l2,0.5734923076923076,0.08506255407938841,0.6261000152352068,0.08551032153801566,0.02,0.032890511394387034,0.0
"X1,X6,mean",elasticnet,0.573923076923077,0.08401560153789978,0.626461812118871,0.08494990254004167,0.02,0.03160485020524917,0.0
"X1,X6,mean",,0.5730615384615385,0.08392120705806631,0.6241843200313482,0.08482263902973279,0.02,0.03073710694327436,0.0
"X1,X6,F_w_mean",l1,0.569076923076923,0.07608170631303532,0.6286221670688292,0.0803944831246221,0.0,0.01720922312265427,0.0
"X1,X6,F_w_mean",l2,0.5647076923076922,0.0716899372338386,0.6219646978632372,0.0767203253684715,0.0,0.010564940988489258,0.0
"X1,X6,F_w_mean",elasticnet,0.5647076923076922,0.0725771803020186,0.6222160419492586,0.07718140827553903,0.0,0.011379104789390193,0.0
"X1,X6,F_w_mean",,0.5627384615384615,0.0738376854118698,0.620491112750535,0.07765303820068892,0.0,0.011748371537222857,0.0
"X1,X6,above_4",l1,0.5818923076923076,0.07832291071707732,0.6494583414356038,0.08143100955494181,0.02,0.029312966229137483,0.0
"X1,X6,above_4",l2,0.5815076923076923,0.07991622240540588,0.6480284599909804,0.08211288590233824,0.03,0.031577429773236965,0.0
"X1,X6,above_4",elasticnet,0.5799384615384615,0.08125958696284877,0.6472538036692428,0.08240629380570234,0.03,0.03239579838344642,0.0
"X1,X6,above_4",,0.5831076923076922,0.07987000681210489,0.6488667869617503,0.08224436770821204,0.03,0.032947129692599386,0.0
"X1,X6,above_5",l1,0.5948461538461538,0.07839284323088738,0.6325801553818675,0.08323269335357665,0.02,0.04234864324951415,0.0
"X1,X6,above_5",l2,0.5932615384615385,0.08231582418491967,0.631499754971071,0.0846849913931801,0.04,0.04834223529981896,0.0
"X1,X6,above_5",elasticnet,0.5936615384615385,0.08205562552606234,0.6317113951827111,0.0845609553967154,0.04,0.04830281765211186,0.0
"X1,X6,above_5",,0.5940769230769231,0.08226997698082839,0.6311529998146383,0.08623512242804338,0.04,0.04925107843306764,0.0
"X1,mean,F_w_mean",l1,0.5678923076923076,0.07806071222388,0.6281849074091328,0.0803050068743651,0.0,0.018915213216892046,0.0
"X1,mean,F_w_mean",l2,0.5598923076923077,0.07189711748713283,0.6199868843681302,0.07677005047669429,0.0,0.00899102203655322,0.0
"X1,mean,F_w_mean",elasticnet,0.5611538461538461,0.07408530985353759,0.6207514246191506,0.07799068933625926,0.0,0.011331232957289994,0.0
"X1,mean,F_w_mean",,0.5591384615384616,0.07006449100227792,0.6220306176056394,0.0742007057318219,0.0,0.007371478264191711,0.0
"X1,mean,above_4",l1,0.5845999999999999,0.0742359886566773,0.6524956700197053,0.07968908909936291,0.01,0.02507872549581236,0.0
"X1,mean,above_4",l2,0.5818307692307694,0.0722214526636793,0.651693217632578,0.07795275622723814,0.02,0.020104479133765785,0.0
"X1,mean,above_4",elasticnet,0.5826615384615385,0.07349623989093938,0.6525337617478882,0.07895405870394878,0.02,0.02249716443377292,0.0
"X1,mean,above_4",,0.5782769230769231,0.07456962276324894,0.6492827765412053,0.07864395552178176,0.02,0.020943055341520966,0.0
"X1,mean,above_5",l1,0.5838,0.07418366939383443,0.6330366889528463,0.07974846457864969,0.01,0.02437428507698558,0.0
"X1,mean,above_5",l2,0.5770615384615385,0.07304893229114126,0.6279467545650088,0.07974304229652654,0.01,0.018145850779801354,0.0
