features,max_depth,acc_mean,acc_std,f1_mean,f1_std,above_73,norm_above_73,acc_mean_above_73
X1,1,0.6508461538461537,0.08795732558610656,0.6692040075505146,0.08972808646870228,0.17,0.18408356183138763,0.0
X1,2,0.6508461538461537,0.08795732558610656,0.6692040075505146,0.08972808646870228,0.17,0.18408356183138763,0.0
X1,3,0.6508461538461537,0.08795732558610656,0.6692040075505146,0.08972808646870228,0.17,0.18408356183138763,0.0
X1,4,0.6508461538461537,0.08795732558610656,0.6692040075505146,0.08972808646870228,0.17,0.18408356183138763,0.0
X1,5,0.6508461538461537,0.08795732558610656,0.6692040075505146,0.08972808646870228,0.17,0.18408356183138763,0.0
X1,6,0.6508461538461537,0.08795732558610656,0.6692040075505146,0.08972808646870228,0.17,0.18408356183138763,0.0
X3,1,0.5618000000000001,0.07223435069354708,0.5463792648798267,0.09566990346614497,0.0,0.00994193497946183,0.0
X3,2,0.5297076923076923,0.07067039754209253,0.5386780230413912,0.09560447610580296,0.0,0.002297204792491736,0.0
X3,3,0.5266461538461539,0.06806014743327445,0.5341208335468324,0.09708844883715505,0.0,0.0014047144239924814,0.0
X3,4,0.5266461538461539,0.06806014743327445,0.5341208335468324,0.09708844883715505,0.0,0.0014047144239924814,0.0
X3,5,0.5266461538461539,0.06806014743327445,0.5341208335468324,0.09708844883715505,0.0,0.0014047144239924814,0.0
X3,6,0.5266461538461539,0.06806014743327445,0.5341208335468324,0.09708844883715505,0.0,0.0014047144239924814,0.0
X5,1,0.530646153846154,0.0757575328728586,0.5289850069233039,0.17338903355301027,0.0,0.004250790374317748,0.0
X5,2,0.5580000000000002,0.0780536911249228,0.6239956084859453,0.12603729472105413,0.0,0.013775844046261754,0.0
X5,3,0.5831538461538461,0.08079380578518652,0.652679047281339,0.0813825695240245,0.01,0.03456706417919897,0.0
X5,4,0.5771692307692308,0.08429245230026768,0.6459311667621114,0.09250765573109071,0.0,0.034908086200882926,0.0
X5,5,0.5771692307692308,0.08429245230026768,0.6459311667621114,0.09250765573109071,0.0,0.034908086200882926,0.0
X5,6,0.5771692307692308,0.08429245230026768,0.6459311667621114,0.09250765573109071,0.0,0.034908086200882926,0.0
X6,1,0.6027538461538462,0.07507228705736671,0.7037684138185248,0.0800459700847232,0.04,0.045039444787654315,0.0
X6,2,0.5972153846153847,0.07643249564506281,0.7009648749112458,0.08099973372379264,0.04,0.041168915370186965,0.0
X6,3,0.5972153846153847,0.07643249564506281,0.7009648749112458,0.08099973372379264,0.04,0.041168915370186965,0.0
X6,4,0.5972153846153847,0.07643249564506281,0.7009648749112458,0.08099973372379264,0.04,0.041168915370186965,0.0
X6,5,0.5972153846153847,0.07643249564506281,0.7009648749112458,0.08099973372379264,0.04,0.041168915370186965,0.0
X6,6,0.5972153846153847,0.07643249564506281,0.7009648749112458,0.08099973372379264,0.04,0.041168915370186965,0.0
mean,1,0.5451846153846155,0.06103046285626305,0.6088143045448061,0.12544308724243083,0.0,0.0012298801641406065,0.0
mean,2,0.540046153846154,0.05970200357416182,0.6089913189958702,0.12578213982028968,0.0,0.0007320677525869401,0.0
mean,3,0.5528461538461538,0.0794666764293178,0.5934620900580426,0.1245217802693791,0.0,0.01289748389874601,0.0
mean,4,0.5655538461538462,0.08198365979494195,0.6235271114569736,0.11359602533961417,0.0,0.022436628387770607,0.0
mean,5,0.5616307692307693,0.0830951034238345,0.6191467551111254,0.08543683513211171,0.0,0.02137095590142335,0.0
mean,6,0.5691384615384616,0.0793255057216036,0.6148756314065027,0.08264717886225552,0.0,0.021286935694624254,0.0
F_w_mean,1,0.5866307692307693,0.08064171472535882,0.50980280041717,0.13207541258625713,0.05,0.037713882097053286,0.0
F_w_mean,2,0.5573692307692307,0.07285660553727577,0.5043127590017061,0.14532208801913127,0.04,0.008907055279073539,0.0
F_w_mean,3,0.5624307692307693,0.08121625161645432,0.5371451430521481,0.12842413954703424,0.02,0.019544558078888552,0.0
F_w_mean,4,0.5585846153846155,0.07946081018357154,0.5348678434330106,0.14288080176737927,0.0,0.015493804905289399,0.0
F_w_mean,5,0.5516307692307693,0.07815999975774165,0.5489062120499881,0.1184798455895598,0.02,0.011241606991940989,0.0
F_w_mean,6,0.5524,0.07812289514324294,0.5487562761181661,0.12825460209093878,0.02,0.011502811814569913,0.0
above_4,1,0.5595076923076924,0.04404456054508283,0.6714041254711912,0.0684878868115415,0.0,5.421603295119315e-05,0.0
above_4,2,0.5722,0.05487727243208976,0.6616467548207343,0.07100483345631944,0.0,0.0020168937963768174,0.0
