features,margin,kernel,acc_mean,acc_std,f1_mean,f1_std,above_73,norm_above_73,acc_mean_above_73
X5,0.1,rbf,0.5332923076923078,0.03514939880974341,0.6908645979264674,0.03906715658070019,0.0,1.0946736850314664e-08,0.0
X5,0.01,rbf,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
X5,0.001,rbf,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
X6,100.0,rbf,0.6056153846153847,0.06772110401487916,0.7144684939851973,0.05096196997433226,0.04,0.033125719593944836,0.0
X6,10.0,rbf,0.6056153846153847,0.06772110401487916,0.7144684939851973,0.05096196997433226,0.04,0.033125719593944836,0.0
X6,1.0,rbf,0.6056153846153847,0.06772110401487916,0.7144684939851973,0.05096196997433226,0.04,0.033125719593944836,0.0
X6,0.1,rbf,0.5496923076923078,0.03249797444757545,0.6962573264601128,0.03006659042045412,0.0,1.4425109884363962e-08,0.0
X6,0.01,rbf,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
X6,0.001,rbf,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
mean,100.0,rbf,0.5101692307692308,0.08335704767114599,0.5371468842898576,0.11829118694233338,0.0,0.0041794454230412725,0.0
mean,10.0,rbf,0.5192461538461539,0.08528948130515145,0.5421603660736077,0.1175585398672243,0.0,0.006736009551880584,0.0
mean,1.0,rbf,0.5584923076923076,0.08082034426638678,0.5694779235889015,0.10112986663883519,0.01,0.016915273362524963,0.0
mean,0.1,rbf,0.5225846153846155,0.05432659509771659,0.6730963769271926,0.07167775891591285,0.0,6.72868057659537e-05,0.0
mean,0.01,rbf,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
mean,0.001,rbf,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
F_w_mean,100.0,rbf,0.5778923076923077,0.09884125219813171,0.6103799943741823,0.11470188397407122,0.08,0.06191325717871621,0.0
F_w_mean,10.0,rbf,0.5746923076923077,0.09468462132148442,0.5909193047036129,0.11373146294388203,0.04,0.05047523521669717,0.0
F_w_mean,1.0,rbf,0.5844,0.08831198595833595,0.5873539475854775,0.11264104978167601,0.04,0.04960452171854113,0.0
F_w_mean,0.1,rbf,0.5178615384615386,0.05472465558588819,0.6394558514362878,0.08531813467862238,0.0,5.299153110083221e-05,0.0
F_w_mean,0.01,rbf,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
F_w_mean,0.001,rbf,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
above_3,100.0,rbf,0.526076923076923,0.0661582735548874,0.6448818253375626,0.07556910255860814,0.0,0.0010268596490881077,0.0
above_3,10.0,rbf,0.526076923076923,0.0661582735548874,0.6439092347097995,0.07524764602297349,0.0,0.0010268596490881077,0.0
above_3,1.0,rbf,0.526076923076923,0.0661582735548874,0.6455528411809922,0.07625845838966133,0.0,0.0010268596490881077,0.0
above_3,0.1,rbf,0.5324923076923078,0.05344256663928188,0.6895076084041601,0.06468798909279434,0.0,0.0001096409004182064,0.0
above_3,0.01,rbf,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
above_3,0.001,rbf,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
above_4,100.0,rbf,0.6142615384615384,0.07454694879044009,0.6672280183698451,0.07578697511917931,0.07,0.06026438337843276,0.0
above_4,10.0,rbf,0.6142615384615385,0.07540058072697119,0.6675045937214712,0.07629859730290053,0.07,0.062394243143882644,0.0
above_4,1.0,rbf,0.6202153846153846,0.07709642621361411,0.6706679844403173,0.07675878270310448,0.07,0.07722454183557037,0.0
above_4,0.1,rbf,0.5489384615384617,0.04053120355403305,0.6818154810944231,0.06306182523291567,0.0,3.962252243638886e-06,0.0
above_4,0.01,rbf,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
above_4,0.001,rbf,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
above_5,100.0,rbf,0.5808923076923077,0.0737782315837219,0.5732880972317872,0.11087916203986088,0.0,0.021638559268904012,0.0
above_5,10.0,rbf,0.5808923076923077,0.0737782315837219,0.5732880972317872,0.11087916203986088,0.0,0.021638559268904012,0.0
above_5,1.0,rbf,0.5931692307692308,0.07672569136851315,0.6301044406486058,0.11101852520159318,0.0,0.0372625452508496,0.0
