features,model,acc_mean,acc_std,f1_mean,f1_std,above_73,norm_above_73,acc_mean_above_73
"X5,mean,F_w_mean,above_4,count_3",Gaussian,0.6066,0.08299234868846889,0.65641522645035,0.08539198736667675,0.05,0.06852271804425214,0.0
"X5,mean,F_w_mean,above_4,count_5",Gaussian,0.5839692307692307,0.09963321610526929,0.6244900424471219,0.11158110060187529,0.05,0.07136725426340484,0.0
"X5,mean,F_w_mean,above_5,count_3",Gaussian,0.5780153846153846,0.09010192650417256,0.6093364836678866,0.10618697483185364,0.03,0.04582017576354236,0.0
"X5,mean,F_w_mean,above_5,count_5",Gaussian,0.5715692307692308,0.08656672495724027,0.5756343747219135,0.1053715301763493,0.03,0.03361317099515415,0.0
"X5,mean,F_w_mean,count_3,count_5",Gaussian,0.5780153846153846,0.09010192650417256,0.6093364836678866,0.10618697483185364,0.03,0.04582017576354236,0.0
"X5,mean,above_4,above_5,count_3",Gaussian,0.5819846153846153,0.0890917471390253,0.6151615430314734,0.09647474115910369,0.02,0.048318420822681785,0.0
"X5,mean,above_4,above_5,count_5",Gaussian,0.551753846153846,0.09163976811729564,0.5657442128773946,0.10754379010875281,0.02,0.025883020875147822,0.0
"X5,mean,above_4,count_3,count_5",Gaussian,0.5819846153846153,0.0890917471390253,0.6151615430314734,0.09647474115910369,0.02,0.048318420822681785,0.0
"X5,mean,above_5,count_3,count_5",Gaussian,0.5707846153846153,0.08648466567230113,0.5644432987445329,0.11081748524183092,0.03,0.03281322357073002,0.0
"X5,F_w_mean,above_4,above_5,count_3",Gaussian,0.6010923076923077,0.07904857169102128,0.643936728028248,0.08534933015549426,0.03,0.0514725635414901,0.0
"X5,F_w_mean,above_4,above_5,count_5",Gaussian,0.5659846153846154,0.08822748837036003,0.5875727159351789,0.10170899256039523,0.02,0.03151318061546626,0.0
"X5,F_w_mean,above_4,count_3,count_5",Gaussian,0.6010923076923077,0.07904857169102128,0.643936728028248,0.08534933015549426,0.03,0.0514725635414901,0.0
"X5,F_w_mean,above_5,count_3,count_5",Gaussian,0.5723692307692307,0.08562085682974888,0.5756448435294083,0.10319840710047679,0.02,0.032808407390603866,0.0
"X5,above_4,above_5,count_3,count_5",Gaussian,0.5756,0.0854734174393267,0.5930409208195021,0.09961702186502007,0.01,0.03542719322581711,0.0
"X6,mean,F_w_mean,above_4,above_5",Gaussian,0.5419692307692308,0.09671040892926817,0.5793941454664033,0.10597833861816348,0.01,0.02593168543565061,0.0
"X6,mean,F_w_mean,above_4,count_3",Gaussian,0.5865538461538462,0.07654108847444012,0.6422324537963766,0.0769762147693998,0.0,0.03045787162841085,0.0
"X6,mean,F_w_mean,above_4,count_5",Gaussian,0.5419692307692308,0.09671040892926817,0.5793941454664033,0.10597833861816348,0.01,0.02593168543565061,0.0
"X6,mean,F_w_mean,above_5,count_3",Gaussian,0.5283846153846153,0.0906035972482303,0.5639517361982843,0.09777456450412504,0.0,0.013032330016591653,0.0
"X6,mean,F_w_mean,above_5,count_5",Gaussian,0.5402615384615386,0.08562780475257765,0.5467483336040537,0.10152252698192216,0.01,0.01335085225464816,0.0
"X6,mean,F_w_mean,count_3,count_5",Gaussian,0.5283846153846153,0.0906035972482303,0.5639517361982843,0.09777456450412504,0.0,0.013032330016591653,0.0
"X6,mean,above_4,above_5,count_3",Gaussian,0.5581692307692309,0.09013013471326864,0.6019711690124648,0.09600645532436271,0.03,0.028294360165191823,0.0
"X6,mean,above_4,above_5,count_5",Gaussian,0.5495076923076924,0.08522420968926471,0.5534932487123954,0.10223071559949143,0.02,0.017093779668746145,0.0
"X6,mean,above_4,count_3,count_5",Gaussian,0.5581692307692309,0.09013013471326864,0.6019711690124648,0.09600645532436271,0.03,0.028294360165191823,0.0
"X6,mean,above_5,count_3,count_5",Gaussian,0.5621538461538462,0.08072452975485217,0.5586956734399376,0.10212959307166886,0.01,0.01879737380792823,0.0
"X6,F_w_mean,above_4,above_5,count_3",Gaussian,0.5701846153846155,0.08595079919149562,0.6173196426002805,0.0905876957806448,0.01,0.031486492729705606,0.0
"X6,F_w_mean,above_4,above_5,count_5",Gaussian,0.5351230769230769,0.08576010437819313,0.5440836559591323,0.1037461241285344,0.0,0.011532707179160884,0.0
"X6,F_w_mean,above_4,count_3,count_5",Gaussian,0.5701846153846155,0.08595079919149562,0.6173196426002805,0.0905876957806448,0.01,0.031486492729705606,0.0
"X6,F_w_mean,above_5,count_3,count_5",Gaussian,0.538723076923077,0.08332727378363593,0.5438364447613037,0.09862602683130181,0.0,0.010852529636617425,0.0
"X6,above_4,above_5,count_3,count_5",Gaussian,0.560476923076923,0.0923291500700766,0.5800686768864972,0.10497474677201904,0.02,0.03317341654104633,0.0
"mean,F_w_mean,above_4,above_5,count_3",Gaussian,0.5649384615384615,0.09851496026720868,0.6031932726407735,0.11058207221057713,0.02,0.04691836161057128,0.0
"mean,F_w_mean,above_4,above_5,count_5",Gaussian,0.5405846153846154,0.09107530663846235,0.5505362769577332,0.11036963004859647,0.02,0.01877347110236416,0.0
"mean,F_w_mean,above_4,count_3,count_5",Gaussian,0.5649384615384615,0.09851496026720868,0.6031932726407735,0.11058207221057713,0.02,0.04691836161057128,0.0
"mean,F_w_mean,above_5,count_3,count_5",Gaussian,0.5530461538461539,0.0776273849074794,0.5538232511542952,0.09695330546049064,0.02,0.01131783011591836,0.0
"mean,above_4,above_5,count_3,count_5",Gaussian,0.5612923076923076,0.08332348596649966,0.5783499236266053,0.10227878657151053,0.02,0.021447467680884125,0.0
"F_w_mean,above_4,above_5,count_3,count_5",Gaussian,0.5565384615384615,0.0821677818776814,0.5730279179561498,0.09727315674512582,0.0,0.01738335740659991,0.0
"X1,X3,X5,X6,mean,F_w_mean",Gaussian,0.5531384615384615,0.08330294609677599,0.6034064421033714,0.09176533089939456,0.01,0.016872206706571524,0.0
"X1,X3,X5,X6,mean,above_4",Gaussian,0.5769076923076925,0.0865445796127928,0.6268681907935979,0.08982787083846411,0.02,0.03845180994115471,0.0
