features,nn,acc_mean,acc_std,f1_mean,f1_std,above_73,norm_above_73,acc_mean_above_73
X1,1,0.5462153846153845,0.12220516651064098,0.45402181257102336,0.30443350352074683,0.07,0.06630327880521059,0.0
X1,2,0.4808461538461538,0.07886333771470086,0.12252066003550383,0.24894080469829405,0.02,0.0007907119450112354,0.0
X1,3,0.5317846153846154,0.11889774235070519,0.3265158200685416,0.3302440522183169,0.06,0.04774645985284098,0.0
X1,4,0.5091076923076923,0.10496991510391478,0.21675516519812857,0.31606520952452066,0.03,0.01767443424710513,0.0
X1,5,0.5814461538461538,0.13048889771178046,0.5069271815530318,0.2831582298568987,0.12,0.1274682950528191,0.0
X1,6,0.5442153846153845,0.11374415805272928,0.36623255269130917,0.3256472661237853,0.05,0.051197153631488135,0.0
X1,7,0.6000923076923077,0.09678007032356568,0.5672394823187776,0.24163369219833494,0.08,0.08974970006018701,0.0
X1,8,0.5788615384615384,0.11546307486293934,0.4820656302952504,0.2952424554859988,0.07,0.09527114102690093,0.0
X1,9,0.6199538461538462,0.10011034267276868,0.6167570992373154,0.18638068786761408,0.12,0.13582982312257408,0.0
X1,10,0.6002923076923077,0.10934094010676858,0.5369852377115982,0.26889685674212144,0.12,0.11775817848187342,0.0
X1,11,0.6329538461538461,0.09205482801541015,0.6441385627132555,0.1426414225790615,0.14,0.14589082162803835,0.0
X1,12,0.6188,0.0948128221423851,0.5938630127942914,0.21452994103929743,0.12,0.12043055885325171,0.0
X1,13,0.6342615384615384,0.08389705018405474,0.6547614733882433,0.10628016557995709,0.13,0.12690538344080426,0.0
X1,14,0.6384461538461538,0.08977591959787977,0.6453181152836155,0.14316079896185738,0.15,0.15391070166836895,0.0
X1,15,0.6382615384615383,0.08311812511055269,0.6564431481949182,0.10673986294376278,0.13,0.1348590718209972,0.0
X5,1,0.5232615384615386,0.0934081278219153,0.47994116956476723,0.21798374229046813,0.0,0.013439129398188698,0.0
X5,2,0.5152307692307694,0.08901259800472233,0.35689699441334083,0.22018676277643492,0.0,0.007915341002453391,0.0
X5,3,0.5221538461538462,0.09552148988361624,0.4665819267686221,0.18365677193073474,0.0,0.014780999844874576,0.0
X5,4,0.5229384615384616,0.0875291586242405,0.3594510351375408,0.2282364249697808,0.0,0.008999729475065,0.0
X5,5,0.5264615384615385,0.08817948345151012,0.4283730327185085,0.20576934705752792,0.0,0.01049319500452528,0.0
X5,6,0.5164923076923077,0.09181640543874668,0.35946411675851125,0.21371720327381258,0.0,0.010025924058647662,0.0
X5,7,0.5327538461538461,0.09327500727552114,0.43653492384628534,0.17772107378428378,0.01,0.01722890697636481,0.0
X5,8,0.530723076923077,0.09341247968524734,0.38807118775973587,0.18862509767349747,0.01,0.016450026936427165,0.0
X5,9,0.5346307692307692,0.09919617643900568,0.4459117411968765,0.1464723435849209,0.02,0.024446485913758087,0.0
X5,10,0.5371230769230769,0.10047170522239511,0.42243008954223105,0.15779684059368215,0.02,0.027447027530173806,0.0
X5,11,0.5256000000000001,0.10041629797701308,0.44895640431814354,0.13980305489802008,0.02,0.020898980250434573,0.0
X5,12,0.5410461538461538,0.09112365744824756,0.43423734218449517,0.13504057142360937,0.01,0.019058324273442895,0.0
X5,13,0.527076923076923,0.0951498351247145,0.45798644753960605,0.13546503158923004,0.01,0.01647595588747852,0.0
X5,14,0.5390153846153848,0.09136610017044085,0.4446008525132686,0.13767897514222407,0.0,0.018294419491852953,0.0
X5,15,0.531123076923077,0.08971667567119906,0.47026990486851017,0.14003375402107465,0.0,0.013321049386048167,0.0
X6,1,0.5335846153846154,0.09170083981986556,0.5287475095147333,0.22949550484920564,0.01,0.016100169942064535,0.0
X6,2,0.4880615384615385,0.06915110630321528,0.21873102198054434,0.27658609530356854,0.0,0.00023377266847790512,0.0
