features,max_depth,acc_mean,acc_std,f1_mean,f1_std,above_73,norm_above_73,acc_mean_above_73
X1,1,0.6508461538461537,0.08795732558610656,0.6692040075505146,0.08972808646870228,0.17,0.18408356183138763,0.0
X1,2,0.6508461538461537,0.08795732558610656,0.6692040075505146,0.08972808646870228,0.17,0.18408356183138763,0.0
X1,3,0.6508461538461537,0.08795732558610656,0.6692040075505146,0.08972808646870228,0.17,0.18408356183138763,0.0
X1,4,0.6508461538461537,0.08795732558610656,0.6692040075505146,0.08972808646870228,0.17,0.18408356183138763,0.0
X1,5,0.6508461538461537,0.08795732558610656,0.6692040075505146,0.08972808646870228,0.17,0.18408356183138763,0.0
X1,6,0.6508461538461537,0.08795732558610656,0.6692040075505146,0.08972808646870228,0.17,0.18408356183138763,0.0
X3,1,0.5618000000000001,0.07223435069354708,0.5463792648798267,0.09566990346614497,0.0,0.00994193497946183,0.0
X3,2,0.5297076923076923,0.07067039754209253,0.5386780230413912,0.09560447610580296,0.0,0.002297204792491736,0.0
X3,3,0.5266461538461539,0.06806014743327445,0.5341208335468324,0.09708844883715505,0.0,0.0014047144239924814,0.0
X3,4,0.5266461538461539,0.06806014743327445,0.5341208335468324,0.09708844883715505,0.0,0.0014047144239924814,0.0
X3,5,0.5266461538461539,0.06806014743327445,0.5341208335468324,0.09708844883715505,0.0,0.0014047144239924814,0.0
X3,6,0.5266461538461539,0.06806014743327445,0.5341208335468324,0.09708844883715505,0.0,0.0014047144239924814,0.0
X6,1,0.6027538461538462,0.07507228705736671,0.7037684138185248,0.0800459700847232,0.04,0.045039444787654315,0.0
X6,2,0.5972153846153847,0.07643249564506281,0.7009648749112458,0.08099973372379264,0.04,0.041168915370186965,0.0
X6,3,0.5972153846153847,0.07643249564506281,0.7009648749112458,0.08099973372379264,0.04,0.041168915370186965,0.0
X6,4,0.5972153846153847,0.07643249564506281,0.7009648749112458,0.08099973372379264,0.04,0.041168915370186965,0.0
X6,5,0.5972153846153847,0.07643249564506281,0.7009648749112458,0.08099973372379264,0.04,0.041168915370186965,0.0
X6,6,0.5972153846153847,0.07643249564506281,0.7009648749112458,0.08099973372379264,0.04,0.041168915370186965,0.0
mean,1,0.5633692307692307,0.06552282045211424,0.4689525686046332,0.1440137767939278,0.0,0.0054937646348103275,0.0
mean,2,0.5609999999999999,0.058924633439975706,0.6066646961012758,0.15577836055340377,0.0,0.0020649178079087394,0.0
mean,3,0.5615076923076924,0.0704366701160796,0.5916350786754403,0.09651581054920477,0.0,0.008375895950370249,0.0
mean,4,0.5999384615384615,0.07480117076576405,0.640994647812783,0.09980627134553882,0.04,0.0410381939211073,0.0
mean,5,0.6026923076923076,0.07685670213274763,0.6488461529614915,0.09247677584277493,0.04,0.04881745712376262,0.0
mean,6,0.6026923076923076,0.07685670213274763,0.6491208782362168,0.09241775010109521,0.04,0.04881745712376262,0.0
F_w_mean,1,0.5757538461538462,0.07152245313029432,0.5501784276912015,0.13469700658228423,0.01,0.015517969009393062,0.0
F_w_mean,2,0.5641999999999999,0.06804274848432988,0.5817610197225629,0.12792536960470563,0.01,0.0074109145062272175,0.0
F_w_mean,3,0.5961846153846153,0.0835639513456433,0.6193867604525941,0.12212689598426393,0.06,0.05464937760320965,0.0
F_w_mean,4,0.6122153846153846,0.08270967831864638,0.6540484001664681,0.10703176239315089,0.06,0.07721267827984912,0.0
F_w_mean,5,0.6309384615384616,0.08706384653104333,0.6672977449802385,0.11087240064210338,0.12,0.12760129759839656,0.0
F_w_mean,6,0.6495692307692306,0.09599521191215304,0.6970941056477041,0.09836188867496815,0.18,0.20105402160070363,0.0
above_4,1,0.5904615384615384,0.04868398276142568,0.7178503652187862,0.05872651079623232,0.0,0.002077100515425978,0.0
above_4,2,0.5849076923076924,0.05444836650795518,0.7065370257247191,0.07375845267575196,0.0,0.0038520635624951227,0.0
above_4,3,0.5809538461538462,0.06553260356629755,0.6899149680757712,0.07188051991940897,0.0,0.011471523592311406,0.0
above_4,4,0.5809538461538462,0.06553260356629755,0.6899149680757712,0.07188051991940897,0.0,0.011471523592311406,0.0
above_4,5,0.5809538461538462,0.06553260356629755,0.6899149680757712,0.07188051991940897,0.0,0.011471523592311406,0.0
above_4,6,0.5809538461538462,0.06553260356629755,0.6899149680757712,0.07188051991940897,0.0,0.011471523592311406,0.0
above_5,1,0.5696307692307692,0.07904687247030891,0.6046119253111859,0.1058519892160102,0.02,0.021240018503690394,0.0
above_5,2,0.5970461538461538,0.08748982831833423,0.6413291358312531,0.09922580315253912,0.05,0.06429958482327602,0.0
